Form,M/F,B/D,House,Room/Bed,Rm Type,1,2,3,4,5,6,
3,F,B,NICHOL,211A,,,,,,,,
3,F,B,NICHOL,215A,Double,ARCH,HALL,LBRY,BERNHS,,,
3,F,B,NICHOL,215B,,,,,,,,
3,F,B,NICHOL,312A,Double,ARCH,HALL,LBRY,BERNHS,,,
3,F,B,NICHOL,309A,Single,ARCH,BERNHS,MCCOOK,WWING,,,
3,F,B,PITMAN,104A,Double,BERNHS,ARCH,LBRY,MCCOOK,WWING,HALL,
3,F,B,NICHOL,308A,Double,LBRY,ARCH,MCCOOK,HALL,WWING,BERNHS,
3,F,B,NICHOL,304A,Double,LBRY,WWING,BERNHS,ARCH,,,
3,F,B,NICHOL,G10A,Double,HALL,WWING,ARCH,MCCOOK,LBRY,BERNHS,
3,F,B,NICHOL,214A,Triple,LBRY,,,,,,
3,F,B,SQUIRE,103A,Double,WWING,ARCH,LBRY,HALL,MCCOOK,BERNHS,
3,F,B,PITMAN,001A,Double,HALL,WWING,ARCH,LBRY,BERNHS,MCCOOK,
3,F,B,NICHOL,210A,Double,BERNHS,ARCH,LBRY,WWING,,,
3,F,B,PITMAN,101A,Double,BERNHS,ARCH,HALL,LBRY,WWING,MCCOOK,
3,F,B,PITMAN,201A,Single,ARCH,WWING,MCCOOK,BERNHS,,,
3,F,B,NICHOL,309B,Double,HALL,LBRY,WWING,ARCH,BERNHS,MCCOOK,
3,F,B,SQUIRE,104A,Double,ARCH,BERNHS,LBRY,MCCOOK,WWING,HALL,
3,F,B,PITMAN,204A,Double,ARCH,MCCOOK,LBRY,WWING,,,
3,F,B,PITMAN,204B,Double,ARCH,MCCOOK,LBRY,WWING,,,
3,F,B,PITMAN,202A,Single,MCCOOK,ARCH,WWING,BERNHS,,,
3,F,B,NICHOL,105A,Double,BERNHS,ARCH,HALL,LBRY,WWING,MCCOOK,
3,F,B,PITMAN,102A,Single,WWING,ARCH,MCCOOK,BERNHS,,,
3,F,B,NICHOL,107A,Single,WWING,MCCOOK,ARCH,BERNHS,,,
3,F,B,NICHOL,208A,Single,BERNHS,ARCH,WWING,MCCOOK,,,
3,F,B,PITMAN,001B,Double,HALL,WWING,ARCH,LBRY,BERNHS,MCCOOK,
3,F,B,SQUIRE,102B,Single,BERNHS,WWING,ARCH,MCCOOK,,,
3,F,B,NICHOL,214B,Double,LBRY,WWING,BERNHS,ARCH,,,
3,F,B,NICHOL,105B,Double,HALL,LBRY,WWING,ARCH,BERNHS,MCCOOK,
3,F,B,NICHOL,G09A,Double,ARCH,LBRY,BERNHS,HALL,,,
3,F,B,NICHOL,G01A,Single,WWING,MCCOOK,BERNHS,ARCH,,,
3,F,B,NICHOL,G10B,Single,BERNHS,ARCH,WWING,MCCOOK,,,
3,F,B,NICHOL,305A,Single,BERNHS,ARCH,WWING,MCCOOK,,,
3,F,B,NICHOL,G12A,Single,WWING,BERNHS,MCCOOK,ARCH,,,
3,F,B,NICHOL,G02A,Double,LBRY,HALL,ARCH,WWING,BERNHS,MCCOOK,
3,F,B,NICHOL,106A,Double,HALL,LBRY,WWING,ARCH,BERNHS,MCCOOK,
3,F,B,NICHOL,G09B,Single,BERNHS,MCCOOK,WWING,ARCH,,,
3,F,B,NICHOL,206A,Single,BERNHS,WWING,ARCH,MCCOOK,,,
3,F,B,NICHOL,312B,Triple,LBRY,,,,,,
3,F,B,NICHOL,308B,Single,BERNHS,ARCH,WWING,MCCOOK,,,
3,F,B,NICHOL,203A,Double,HALL,LBRY,WWING,ARCH,BERNHS,MCCOOK,
3,F,B,PITMAN,104B,Double,BERNHS,ARCH,LBRY,MCCOOK,WWING,HALL,
3,F,B,NICHOL,106B,Single,ARCH,BERNHS,WWING,MCCOOK,,,
3,F,B,NICHOL,210B,Double,BERNHS,ARCH,LBRY,WWING,,,
3,F,B,SQUIRE,103B,Double,ARCH,LBRY,BERNHS,HALL,,,
3,F,B,SQUIRE,102A,Double,ARCH,BERNHS,LBRY,MCCOOK,WWING,HALL,
3,F,B,SQUIRE,106B,Double,BERNHS,ARCH,LBRY,WWING,MCCOOK,HALL,
3,F,B,NICHOL,108A,Double,LBRY,ARCH,MCCOOK,HALL,,,
3,F,B,NICHOL,208B,Single,ARCH,BERNHS,WWING,MCCOOK,,,
3,F,B,PITMAN,102B,Double,BERNHS,ARCH,LBRY,HALL,WWING,MCCOOK,
3,F,B,NICHOL,108B,Triple,LBRY,,,,,,
3,F,B,NICHOL,G02B,Double,LBRY,ARCH,MCCOOK,HALL,,,
3,F,B,NICHOL,G12B,Double,LBRY,HALL,ARCH,WWING,BERNHS,MCCOOK,
3,F,B,NICHOL,107B,Double,HALL,LBRY,WWING,ARCH,BERNHS,MCCOOK,
3,F,B,NICHOL,211B,Double,HALL,LBRY,WWING,ARCH,BERNHS,MCCOOK,
3,F,B,SQUIRE,105A,Single,WWING,ARCH,MCCOOK,BERNHS,,,
3,F,B,NICHOL,205A,Double,BERNHS,ARCH,LBRY,WWING,MCCOOK,HALL,
3,F,B,PITMAN,201B,Double,HALL,WWING,ARCH,MCCOOK,LBRY,BERNHS,
